"workid","subjectid"
"OL4454629W","1034"
"OL4454629W","2136"
"OL4454629W","1351"
"OL4454629W","709"
"OL4454629W","1116"
"OL4454629W","1666"
"OL4454629W","448"
"OL4454629W","465"
"OL4454629W","466"
"OL4776101W","133"
"OL4776101W","817"
"OL4776101W","2088"
"OL4776101W","2094"
"OL4776101W","2107"
"OL4776101W","2108"
"OL4776101W","2303"
"OL11210779W","479"
"OL11210779W","1860"
"OL11210779W","493"
"OL11210779W","540"
"OL12355743W","1299"
"OL12355743W","479"
"OL12355743W","133"
"OL12355743W","557"
"OL15408875W","996"
"OL15408875W","2090"
"OL15408875W","133"
"OL16148664W","1144"
"OL16148664W","479"
"OL16148664W","133"
"OL16148664W","546"
"OL16973590W","1486"
"OL16973590W","133"
"OL16973590W","437"
"OL16973590W","430"
"OL16973590W","1471"
"OL3514822W","133"
"OL3514822W","1678"
"OL3514822W","470"
"OL4090255W","133"
"OL4090255W","1681"
"OL4812172W","133"
"OL4812172W","540"
"OL4812172W","2183"
"OL5092340W","133"
"OL5092340W","487"
"OL5092340W","489"
"OL5092340W","1405"
"OL5092340W","1406"
"OL5356464W","133"
"OL5356464W","1822"
"OL10373852W","1368"
"OL10373852W","133"
"OL10373852W","1366"
"OL11007569W","133"
"OL12718624W","133"
"OL13150829W","479"
"OL13150829W","1068"
"OL13150829W","161"
"OL13150829W","133"
"OL13590410W","479"
"OL13590410W","133"
"OL15976342W","1610"
"OL15976342W","50"
"OL15976342W","133"
"OL15976342W","2187"
"OL15976342W","1612"
"OL15976342W","515"
"OL15976342W","915"
"OL15976342W","684"
"OL15976342W","1935"
"OL15976342W","594"
"OL15976342W","2022"
"OL15976342W","2090"
"OL15976342W","916"
"OL16626598W","2073"
"OL16626598W","2112"
"OL16626598W","607"
"OL16626598W","348"
"OL16626598W","187"
"OL16626598W","801"
"OL16626598W","799"
"OL16626598W","1106"
"OL16641049W","756"
"OL16641049W","982"
"OL16641049W","133"
"OL16641049W","546"
"OL16641049W","535"
"OL16714691W","2071"
"OL16714691W","133"
"OL16920827W","699"
"OL16920827W","702"
"OL16920827W","133"
